---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE01

Time Stamp (Second(s)), Engine Speed (RPM), Throttle (%), Intake Temp (C), Coolant Temp (C), Vehicle Speed (KPH), Lambda #2, Battery Voltage (V)
4.0005,4796.47,23.8278,8,31,0,0,14.1407
4.0094,4849.21,23.8278,8,31,0,0,13.8893
4.0195,4859.75,23.8278,8,31,0,0,13.7636
4.0295,4760.54,23.8278,8,30,0,0,13.7008
4.0395,4811.71,23.8278,8,31,0,0,13.8265
4.0503,4767.96,23.8278,7,31,0,0,13.8893
4.0595,4745.69,23.8278,7,31,0,0,14.015
4.0695,4805.46,23.8278,7,31,0,0,13.9522
4.0795,4684.75,23.8278,8,31,0,0,14.2036
4.0895,4766,24.2184,8,31,0,0,14.2664
4.1003,4717.96,23.4372,8,31,0,0,13.638
4.1095,4590.22,23.8278,7,31,0,0,13.8893
4.1195,4657.41,24.2184,8,30,0,0,13.9522
4.1295,4698.82,23.4372,7,31,0,0,13.7008
4.1473,4557.41,23.8278,8,31,0,0,13.8893
4.1503,4560.54,23.8278,7,31,0,0,13.8893
4.1595,4678.5,23.4372,8,31,0,0,13.8265
4.1695,4551.94,23.8278,8,31,0,0,13.8265
4.1795,4541.4,23.4372,7,31,0,0,13.7008
4.1895,4594.13,23.4372,8,31,0,0,14.1407
4.2004,4562.88,23.8278,8,31,0,0,13.5123
4.2095,4566.01,23.8278,8,31,0,0,14.3921
4.2271,4435.15,24.2184,8,30,0,0,13.5751
4.2295,4531.63,24.2184,7,31,0,0,13.5751
4.2395,4516.4,24.2184,7,31,0,0,14.015
4.2504,4415.22,24.6091,8,31,0,0,14.015
4.2595,4465.61,26.1715,7,31,0,0,14.1407
4.2695,4524.6,25.3903,7,31,0,0,13.7008
4.2794,4544.52,25.7809,7,32,0,0,13.8265
4.2895,4651.94,26.1715,8,32,0,0,13.8893
4.3004,4672.65,26.5622,8,31,0,0,14.0779
4.3094,4678.5,26.5622,7,31,0,0,13.7636
4.3194,4678.11,26.9528,7,31,0,0,13.9522
4.3295,4695.3,26.9528,8,31,0,0,13.5123
4.3395,4697.65,27.3434,8,31,0,0,13.638
4.3504,4695.69,27.3434,8,32,0,0,13.8265
4.3595,4666.4,26.5622,7,31,0,0,13.8893
4.3695,4608.97,26.5622,7,31,0,0,14.015
4.3874,4624.99,26.1715,7,32,0,0,13.3866
4.3895,4607.41,26.1715,8,32,0,0,14.1407
4.4002,4643.35,25.7809,7,32,0,0,13.4494
4.4095,4682.8,25.7809,8,32,0,0,14.015
4.4195,4593.74,25.7809,7,32,0,0,13.7636
4.4295,4636.32,25.3903,7,32,0,0,13.9522
